SMILES,SPLIT
C#CC(N)(CC)CC#N,train
CCC(N)(C#N)CC#N,train
C#CCC(O)(C#C)CC,train
C#CCC(O)(C#N)CC,train
C#CC(C#CC)CO,train
C#CC(O)(CC)CC#N,train
CCC(O)(C#N)CC#N,train
C#CCC(C)(C#N)NC,train
C#CC(C)(CC#N)NC,train
CNC(C)(C#N)CC#N,train
C#CCC(C)(C#C)OC,train
C#CCC(C)(C#N)OC,train
C#CC(C)(CC#N)OC,train
COC(C)(C#N)CC#N,train
C#CCC(N)(C#N)CO,train
CC#CC(C#N)CO,test
C#CC(N)(CO)CC#N,train
N#CCC(N)(C#N)CO,train
C#CCC(N)(C#N)CN,train
N#CCC(N)(C#N)CN,train
C#CCC(O)(C#N)CN,train
N#CCC(O)(C#N)CN,train
C#CCC(O)(C#C)CO,train
C#CCC(O)(C#N)CO,train
C#CC(O)(CO)CC#N,train
N#CCC(O)(C#N)CO,train
C#CC(C#CC)CC,train
CC#CC(C#N)CC,train
CC#CC(C)(CO)CO,train
CC#CC(O)(CO)CO,train
CC#CC(C)(CC)CC,train
CC#CC(C)(CC)CO,train
CC#CC(C)(CC)OC,train
CC#CC(O)(CC)CC,train
CC#CC(O)(CC)CO,train
CC#CC(C)(CO)OC,train
CC(=O)C(C)(CO)CO,train
CC#CC(C#N)NC,train
CC(=O)C(O)(CO)CO,test
CC(CO)(CO)C(N)=O,test
CCC(C)(CC)C(C)=O,train
CCC(C)(CC)C(N)=O,train
CCC(C)(CO)C(C)=O,train
CCC(C)(CO)C(N)=O,test
CCC(C)(OC)C(C)=O,train
C#CC(C#CC)OC,train
CCC(C)(OC)C(N)=O,train
CCC(O)(CC)C(C)=O,train
CCC(O)(CC)C(N)=O,train
CCC(O)(CO)C(C)=O,train
CCC(O)(CO)C(N)=O,train
CC#CC(C#N)OC,train
COC(C)(CO)C(C)=O,train
COC(C)(CO)C(N)=O,test
NC(=O)C(O)(CO)CO,train
CC(C)C(C)(CO)CO,train
CC(C)C(O)(CO)CO,train
CC(O)C(C)(CO)CO,train
CC(O)C(O)(CO)CO,train
CCC(C)(CC)C(C)C,train
CCC(C)(CC)C(C)O,train
CCC(C)(CO)C(C)C,train
CCC(C)(CO)C(C)O,train
CCC(C)(OC)C(C)C,train
CCC(C)(OC)C(C)O,train
CCC(O)(CC)C(C)C,train
CCC(O)(CC)C(C)O,train
CCC(O)(CO)C(C)C,train
Cn1ccoc1=N,test
CCC(O)(CO)C(C)O,train
COC(C)(CO)C(C)C,train
COC(C)(CO)C(C)O,test
CC(CO)(CO)C1CC1,train
CCC(C)(CC)C1CC1,train
CCC(C)(CO)C1CC1,train
CCC(C)(OC)C1CC1,train
CCC(O)(CC)C1CC1,train
CCC(O)(CO)C1CC1,train
COC(C)(CO)C1CC1,train
OCC(O)(CO)C1CC1,train
C#CCC(C)(CO)CO,train
CC(CO)(CO)CC#N,test
C#CCC(C)(CC)OC,train
CCC(C)(CC#N)OC,train
C#CCC(C)(CC)CC,train
CCC(C)(CC)CC#N,train
C#CCC(C)(CC)CO,train
CCC(C)(CO)CC#N,test
C#CCC(O)(CC)CC,train
CCC(O)(CC)CC#N,train
C#CCC(O)(CC)CO,train
CCC(O)(CO)CC#N,test
C#CCC(C)(CO)OC,train
COC(C)(CO)CC#N,train
C#CCC(=NC)OC,train
N#CCC(N)(CO)CO,train
C#CCC(O)(CO)CO,train
N#CCC(O)(CO)CO,train
CN=C(CC#N)OC,train
C#CCC(C#C)CC,train
C#CCC(C#N)CC,test
C#CC(CC)CC#N,test
CCC(C#N)CC#N,train
COC(C)=NC(C)(C)C,test
C#CC(C)N=C(N)CO,train
CC(C#N)N=C(N)CO,train
C#CC(C)N=C(C)OC,train
Cn1ccoc1=O,train
C#CCC(C#N)NC,train
COC(C)=NC(C)C#N,train
C#CC(C)N=C(N)OC,train
COC(N)=NC(C)C#N,train
COC(C)=NC1(C)CC1,train
COC(C)=NC1CC1C,train
COC(C)=NC1CC1O,train
COC(N)=NC1CC1O,train
C#CC(CC#N)NC,train
COC(C)=NC1CCC1,train
COC(C)=NC1COC1,train
COC(N)=NC1COC1,train
NC(CO)=NC1COC1,train
CC#CCN=C(N)CO,train
CC#CCN=C(C)OC,train
CC#CCN=C(N)OC,train
CC(=O)CN=C(N)CO,train
CNC(C#N)CC#N,train
COC(C)=NCC(C)=O,train
COC(C)=NCC(N)=O,train
COC(N)=NCC(C)=O,train
COC(N)=NCC(N)=O,train
NC(=O)CN=C(N)CO,train
COC(C)=NCC(C)C,train
C#CCC(C#C)OC,train
COC(C)=NCC(C)O,train
COC(C)=NCC1CC1,train
C#CCCN=C(C)OC,test
COC(C)=NCCC#N,train
CC#CC#CC(C)CO,train
CC#CC#CC(O)CO,train
CC#CC#CC(C)CC,train
C#CCC(C#N)OC,train
CC#CC#CC(O)CC,train
CC#CC#CC(C)OC,train
CC(=O)C#CC(O)CO,train
CC(=O)C#CC(C)CO,train
CC(C#CC(N)=O)CO,train
CCC(C)C#CC(C)=O,train
CCC(C)C#CC(N)=O,train
CCC(O)C#CC(C)=O,train
C#CC(CC#N)OC,train
CCC(O)C#CC(N)=O,train
COC(C)C#CC(C)=O,train
COC(C)C#CC(N)=O,train
NC(=O)C#CC(O)CO,train
CC(C)C#CC(C)CO,train
CC(C)C#CC(O)CO,train
COC(C#N)CC#N,train
CC(O)C#CC(C)CO,train
CC(O)C#CC(O)CO,train
CCC(C)C#CC(C)C,train
CCC(C)C#CC(C)O,train
CCC(O)C#CC(C)C,train
CCC(O)C#CC(C)O,test
COC(C)C#CC(C)C,train
COC(C)C#CC(C)O,train
CC(C#CC1CC1)CO,test
N#CCC(C#N)CN,train
CCC(C)C#CC1CC1,train
CCC(O)C#CC1CC1,test
COC(C)C#CC1CC1,train
C#CCC(C#C)CO,train
OCC(O)C#CC1CC1,train
C#CCC#CC(C)CO,train
CC(C#CCC#N)CO,test
C#CCC#CC(C)CC,train
CCC(C)C#CCC#N,train
C#CCC#CC(O)CC,train
CCC(O)C#CCC#N,train
C#CCC#CC(C)OC,train
C#CCC(C#N)CO,train
COC(C)C#CCC#N,train
C#CCC#CC(O)CO,train
N#CCC#CC(O)CO,train
CC#CC(=O)C(C)CO,train
CC#CC(=O)C(O)CO,train
C#Cc1ccc[nH]1,train
C#CC(CO)CC#N,train
CC#CC(=O)C(C)CC,train
CC#CC(=O)C(O)CC,test
CC#CC(=O)N(C)CC,test
CC#CC(=O)C(C)OC,train
CC(CO)C(=O)C(N)=O,train
N#CCC(C#N)CO,test
CCC(C)C(=O)C(N)=O,train
CCC(O)C(=O)C(N)=O,train
CCN(C)C(=O)C(C)=O,train
CCN(C)C(=O)C(N)=O,train
COC(C)C(=O)C(N)=O,train
NC(=O)C(=O)C(O)CO,train
CC(C)C(=O)C(C)CO,train
CC(C)C(=O)C(O)CO,train
CC(CO)C(=O)N(C)C,train
CC(O)C(=O)C(C)CO,train
CC(O)C(=O)C(O)CO,train
CCC(C)C(=O)C(C)C,train
CCC(C)C(=O)C(C)O,train
CCC(C)C(=O)N(C)C,train
CCC(O)C(=O)C(C)C,train
CCC(O)C(=O)C(C)O,test
CCC(O)C(=O)N(C)C,train
CCN(C)C(=O)C(C)C,train
CCN(C)C(=O)C(C)O,train
CCN(C)C(=O)N(C)C,train
CN(C)C(=O)C(O)CO,train
COC(C)C(=O)C(C)C,train
COC(C)C(=O)C(C)O,train
COC(C)C(=O)N(C)C,train
CC(CO)C(=O)C1CC1,train
CCC(C)C(=O)C1CC1,test
CCC(O)C(=O)C1CC1,train
CCN(C)C(=O)C1CC1,train
COC(C)C(=O)C1CC1,train
O=C(C(O)CO)C1CC1,train
C#CCC(=O)C(C)CO,train
CC(CO)C(=O)CC#N,train
C#CCC(=O)C(C)CC,train
CCC(C)C(=O)CC#N,train
C#CCC(=O)C(O)CC,train
CCC(O)C(=O)CC#N,train
C#CCC(=O)N(C)CC,train
CCN(C)C(=O)CC#N,train
C#CCC(=O)C(C)OC,train
COC(C)C(=O)CC#N,train
C#CCC(=O)C(O)CO,train
N#CCC(=O)C(O)CO,train
C#Cc1ccco1,train
CC#CC(CO)CO,train
CCN(C)C(C#N)=NC,train
C#CC(C#C)C(C)CO,train
C#CC(C#N)C(C)CO,train
C#CC(C#C)C(C)CC,train
C#CC(C#N)C(C)CC,train
CCC(C)C(C#N)C#N,train
C#CC(C#C)C(O)CC,train
CC#CC(CC)CC,train
C#CC(C#N)C(O)CC,train
C#CC(C#N)N(C)CC,train
CCN(C)C(C#N)C#N,train
C#CC(C#C)C(C)OC,train
C#CC(C#N)C(C)OC,train
C#CC(C#N)C(N)CO,train
C#CC(C#C)C(O)CO,train
C#CC(C#N)C(O)CO,train
CC#CC(CC)CO,test
C#CC(C)(C)C(O)CO,train
CC(C)(C#N)C(O)CO,train
C#CC(C)(C)C(C)CO,test
CC(CO)C(C)(C)C#N,train
CC(CO)C(C)(N)C#N,train
C#CC(C)(O)C(C)CO,test
CC(CO)C(C)(O)C#N,train
CC(N)(C#N)C(N)CO,train
CC(N)(C#N)C(O)CO,train
C#CC(C)(O)C(O)CO,train
CC#CC(CC)OC,train
CC(O)(C#N)C(N)CO,train
CC(O)(C#N)C(O)CO,train
C#CC(C)(C)C(C)CC,test
CCC(C)C(C)(C)C#N,train
CCC(C)C(C)(N)C#N,test
C#CC(C)(O)C(C)CC,train
CCC(C)C(C)(O)C#N,train
C#CC(C)(C)C(O)CC,train
CCC(O)C(C)(C)C#N,train
CCC(O)C(C)(N)C#N,train
CC#CC(CO)OC,train
C#CC(C)(O)C(O)CC,train
CCC(O)C(C)(O)C#N,train
CCN(C)C(C)(C)C#N,train
C#CC(C)(C)C(C)OC,train
COC(C)C(C)(C)C#N,train
COC(C)C(C)(N)C#N,train
C#CC(C)(O)C(C)OC,train
COC(C)C(C)(O)C#N,train
C#CCC(CC)OC,train
CC(C)(CO)C(O)CO,train
CC(CO)C(C)(C)CO,train
CCC(CC#N)OC,train
CC(CO)C(C)(O)CO,train
CC(O)(CO)C(O)CO,train
CCC(C)(C)C(C)CO,train
CCC(C)(C)C(C)OC,train
CCC(C)(C)C(O)CO,train
CCC(C)(O)C(C)CO,train
CCC(C)(O)C(C)OC,train
CCC(C)(O)C(O)CO,train
CCC(C)C(C)(C)CC,train
CCC(C)C(C)(C)CO,train
C#CCC(CC)CC,test
CCC(C)C(C)(C)OC,train
CCC(C)C(C)(O)CC,test
CCC(C)C(C)(O)CO,train
CCC(O)C(C)(C)CC,test
CCC(O)C(C)(C)CO,train
CCC(O)C(C)(C)OC,train
CCC(O)C(C)(O)CC,train
CCC(O)C(C)(O)CO,train
COC(C)(C)C(C)CO,train
COC(C)(C)C(O)CO,train
CCC(CC)CC#N,train
COC(C)C(C)(C)CO,train
COC(C)C(C)(C)OC,train
COC(C)C(C)(O)CO,train
CC#CC(C)C(C)CO,train
CC#CC(C)C(O)CO,train
CC#CC(O)C(C)CO,train
CC#CC(O)C(O)CO,train
CC#CC(C)C(C)CC,train
CC#CC(O)C(C)CC,train
CC#CC(C)C(O)CC,train
C#Cc1cnc[nH]1,train
C#CCC(CC)CO,train
CC#CC(O)C(O)CC,train
CC#CC(C)C(C)OC,train
CC#CC(O)C(C)OC,train
CC(=O)C(O)C(O)CO,train
CC(=O)C(C)C(O)CO,test
CC(C(N)=O)C(O)CO,train
CCC(CO)CC#N,train
CC(=O)C(C)C(C)CO,train
CC(CO)C(C)C(N)=O,train
CC(=O)C(O)C(C)CO,train
CC(CO)C(O)C(N)=O,test
CC(=O)N(C)C(C)CO,train
CC(CO)N(C)C(N)=O,train
CCC(C)C(C)C(C)=O,train
CCC(C)C(C)C(N)=O,train
CCN(CC)CC#N,train
CCC(C)C(O)C(C)=O,train
CCC(C)C(O)C(N)=O,train
CCC(C)N(C)C(C)=O,train
CCC(C)N(C)C(N)=O,train
CCC(O)C(C)C(C)=O,train
CCC(O)C(C)C(N)=O,train
C#CCC(CO)OC,train
CCC(O)C(O)C(C)=O,train
CCC(O)C(O)C(N)=O,train
COC(C)C(C)C(C)=O,train
COC(C)C(C)C(N)=O,train
COC(CO)CC#N,train
COC(C)C(O)C(C)=O,train
COC(C)C(O)C(N)=O,test
NC(=O)C(O)C(O)CO,train
CC(C)C(C)C(C)CO,train
CC(C)C(C)C(O)CO,train
C#CCC(CO)CO,train
CC(C)C(O)C(C)CO,train
CC(C)C(O)C(O)CO,train
CC(O)C(C)C(C)CO,train
CC(O)C(C)C(O)CO,train
CC(O)C(O)C(C)CO,train
CC(O)C(O)C(O)CO,train
CCC(C)C(C)C(C)C,train
CCC(C)C(C)C(C)O,train
CCC(C)C(O)C(C)C,train
CCC(C)C(O)C(C)O,train
N#CCC(CO)CO,train
CCC(O)C(C)C(C)C,train
CCC(O)C(C)C(C)O,train
CCC(O)C(O)C(C)C,train
CCC(O)C(O)C(C)O,train
COC(C)C(C)C(C)C,test
COC(C)C(C)C(C)O,train
COC(C)C(O)C(C)C,train
COC(C)C(O)C(C)O,train
CC(C(O)CO)C1CC1,train
CC(CO)C(C)C1CC1,train
CC(CO)C(O)C1CC1,train
CCC(C)C(C)C1CC1,train
CCC(C)C(O)C1CC1,train
CCC(O)C(C)C1CC1,train
CCC(O)C(O)C1CC1,train
COC(C)C(C)C1CC1,train
COC(C)C(O)C1CC1,train
OCC(O)C(O)C1CC1,train
C#CCC(C)C(O)CO,train
CC(CC#N)C(O)CO,train
C#Cc1cnco1,train
C#CCC(C)C(C)CO,train
CC(CO)C(C)CC#N,train
C#CCC(O)C(C)CO,test
CC(CO)C(O)CC#N,train
CC(CO)N(C)CC#N,train
C#CCC(C)C(C)CC,test
CCC(C)C(C)CC#N,train
C#CCC(O)C(C)CC,train
CCC(C)C(O)CC#N,train
CCC(C)N(C)CC#N,train
C#CCC(C)C(O)CC,train
CCC(O)C(C)CC#N,train
C#CCC(O)C(O)CC,train
CCC(O)C(O)CC#N,train
C#CCC(C)C(C)OC,train
COC(C)C(C)CC#N,train
C#CCC(O)C(C)OC,train
COC(C)C(O)CC#N,train
N#CCC(N)C(O)CO,train
C#CCC(O)C(O)CO,test
N#CCC(O)C(O)CO,train
C#CC(CO)C(C)CO,train
CC(CO)C(C#N)CO,train
C#CC(CC)C(C)CO,train
C#CC(CC)C(C)OC,train
C#CC(CC)C(O)CO,train
CCC(C#N)C(C)CO,train
CCC(C#N)C(C)OC,train
CCC(C#N)C(O)CO,test
CCC(C#N)N(C)CC,train
C#CC(CC)C(C)CC,train
CCC(C)C(C#N)CC,train
C#CC(CO)C(C)CC,train
CCC(C)C(C#N)CO,train
CCC(C)C(C#N)NC,train
C#CC(OC)C(C)CC,train
CCC(C)C(C#N)OC,train
CCC(N)C(C#N)NC,train
C#CC(CC)C(O)CC,test
CCC(O)C(C#N)CC,train
C#CC(CO)C(O)CC,train
CCC(O)C(C#N)CO,train
CCC(O)C(C#N)NC,train
C#CC(OC)C(O)CC,train
CCC(O)C(C#N)OC,train
CCN(C)C(C#N)CN,train
CCN(C)C(C#N)CO,train
CNC(C#N)C(C)CO,test
CNC(C#N)C(C)OC,train
CNC(C#N)C(N)CO,train
CNC(C#N)C(O)CO,train
CNC(C)C(C#N)NC,train
CNC(C)C(C#N)OC,train
C#CC(OC)C(C)CO,train
C#CC(OC)C(O)CO,train
C#Cc1ncc[nH]1,train
COC(C#N)C(C)CO,train
COC(C#N)C(N)CO,train
COC(C#N)C(O)CO,train
C#CC(CO)C(C)OC,train
COC(C)C(C#N)CO,train
C#CC(OC)C(C)OC,train
COC(C)C(C#N)OC,train
N#CC(CO)C(N)CO,train
N#CC(CN)C(O)CO,train
C#CC(CO)C(O)CO,train
N#CC(CO)C(O)CO,train
CC(CO)C(CO)CO,train
CCC(C)C(CC)CC,train
CCC(C)C(CC)CO,train
CCC(C)C(CC)OC,train
CCC(C)C(CO)CO,train
CCC(C)C(CO)OC,train
CCC(CC)C(C)CO,train
CCC(CC)C(C)OC,train
CCC(CC)C(O)CO,train
CCC(CO)C(C)CO,train
CCC(CO)C(C)OC,test
CCC(CO)C(O)CO,train
CCC(O)C(CC)CC,train
CCC(O)C(CC)CO,train
CCC(O)C(CC)OC,train
CCC(O)C(CO)CO,train
CCC(O)C(CO)OC,train
CCC(OC)C(C)CO,train
CCC(OC)C(C)OC,train
CCC(OC)C(O)CO,train
COC(C)C(CO)CO,test
COC(C)C(CO)OC,train
COC(CO)C(C)CO,test
COC(CO)C(O)CO,train
OCC(O)C(CO)CO,train
CC(CO)C1(C)CC1C,train
CC(CO)C1(C)CC1O,train
CC(CO)C1(O)CC1C,train
CC(CO)C1(O)CC1O,train
CC1(C(O)CO)CC1O,train
CC1CC1(C)C(O)CO,train
CC1CC1(O)C(O)CO,train
CCC(C)C1(C)CC1C,train
CCC(C)C1(C)CC1O,train
CCC(C)C1(O)CC1C,train
CCC(C)C1(O)CC1O,train
CCC(O)C1(C)CC1C,train
CCC(O)C1(C)CC1O,train
CCC(O)C1(O)CC1C,train
CCC(O)C1(O)CC1O,train
COC(C)C1(C)CC1C,train
COC(C)C1(C)CC1O,train
COC(C)C1(O)CC1C,train
COC(C)C1(O)CC1O,train
OCC(O)C1(O)CC1O,train
CC(CO)C1(C)CCC1,test
CC(CO)C1(C)CCO1,train
CC(CO)C1(C)COC1,train
CC(CO)C1(O)CCC1,train
CC(CO)C1(O)COC1,train
CC1(C(O)CO)CCC1,train
CC1(C(O)CO)CCO1,train
CC1(C(O)CO)COC1,train
CCC(C)C1(C)CCC1,train
CCC(C)C1(C)CCO1,test
CCC(C)C1(C)COC1,train
CCC(C)C1(O)CCC1,train
CCC(C)C1(O)COC1,train
CC1CC1O,train
C#Cc1ncco1,train
CCC(O)C1(C)CCC1,train
CCC(O)C1(C)CCO1,test
CCC(O)C1(C)COC1,train
CCC(O)C1(O)CCC1,train
CCC(O)C1(O)COC1,train
COC(C)C1(C)CCC1,train
COC(C)C1(C)CCO1,train
COC(C)C1(C)COC1,test
COC(C)C1(O)CCC1,train
COC(C)C1(O)COC1,test
OCC(O)C1(O)CCC1,train
OCC(O)C1(O)COC1,train
CC(CO)C1(CO)CC1,train
CCC(C)C1(CC)CC1,train
CCC(C)C1(OC)CC1,train
CCC(C)C1(CO)CC1,train
CCC(O)C1(CC)CC1,train
CCC(O)C1(OC)CC1,train
CCC(O)C1(CO)CC1,train
CCC1(C(C)CO)CC1,train
CCC1(C(C)OC)CC1,train
CCC1(C(O)CO)CC1,train
COC(C)C1(OC)CC1,train
COC(C)C1(CO)CC1,train
COC1(C(C)CO)CC1,train
COC1(C(O)CO)CC1,train
OCC(O)C1(CO)CC1,train
C#CC1(C(C)CO)CC1,train
CC(CO)C1(C#N)CC1,train
C#CC1(C(C)CC)CC1,train
CCC(C)C1(C#N)CC1,train
C#CC1(C(O)CC)CC1,test
CCC(O)C1(C#N)CC1,train
CCN(C)C1(C#N)CC1,train
C#CC1(C(C)OC)CC1,train
COC(C)C1(C#N)CC1,test
C#CC1(C(O)CO)CC1,train
N#CC1(C(O)CO)CC1,train
CC(CO)C12CC(C1)C2,train
CC(CO)C12CC(C1)O2,train
CC(CO)C12CN(C1)C2,train
CCC(C)C12CC(C1)C2,train
N#Cc1ccc[nH]1,train
CCC(C)C12CC(C1)O2,train
CCC(C)C12CN(C1)C2,train
CCC(O)C12CC(C1)C2,train
CCC(O)C12CC(C1)O2,train
CCC(O)C12CN(C1)C2,train
COC(C)C12CC(C1)C2,train
COC(C)C12CC(C1)O2,train
COC(C)C12CN(C1)C2,train
OCC(O)C12CC(C1)C2,train
OCC(O)C12CC(C1)O2,train
OCC(O)C12CN(C1)C2,train
CC(CO)C12CCC1C2,train
CC(CO)C12CC1CO2,train
CC(CO)C12COC1C2,train
CCC(C)C12CCC1C2,train
CCC(C)C12CC1CO2,train
CCC(C)C12COC1C2,train
CCC(O)C12CCC1C2,train
CCC(O)C12CC1CO2,train
CCC(O)C12COC1C2,train
COC(C)C12CCC1C2,train
COC(C)C12CC1CO2,test
COC(C)C12COC1C2,train
OCC(O)C12CCC1C2,train
OCC(O)C12CC1CO2,test
OCC(O)C12COC1C2,train
CC(CO)C1=CCCC1,train
CC(CO)C1=CCOC1,train
CC(CO)C1=NCCO1,train
CCC(C)C1=CCCC1,train
CCC(C)C1=CCOC1,train
CCC(C)C1=NCCO1,train
CCC(O)C1=CCCC1,test
CCC(O)C1=CCOC1,train
CCC(O)C1=NCCO1,train
COC(C)C1=CCCC1,train
COC(C)C1=CCOC1,train
COC(C)C1=NCCO1,train
OCC(O)C1=CCCC1,train
OCC(O)C1=CCOC1,train
OCC(O)C1=NCCN1,train
OCC(O)C1=NCCO1,test
CC(CO)C1C(C)C1C,train
CC(CO)C1C(C)C1O,train
CC(CO)C1C(O)C1O,train
CC1C(C)C1C(O)CO,train
CC1C(O)C1C(O)CO,train
CCC(C)C1C(C)C1C,train
CCC(C)C1C(C)C1O,train
CCC(C)C1C(O)C1O,train
CCC(O)C1C(C)C1C,train
CCC(O)C1C(C)C1O,test
CCC(O)C1C(O)C1O,train
COC(C)C1C(C)C1C,train
COC(C)C1C(C)C1O,train
COC(C)C1C(O)C1O,train
OCC(O)C1C(O)C1O,test
CC(CO)C1C2CC1C2,train
CC(CO)C1C2CC1O2,test
CCC(C)C1C2CC1C2,test
CCC(C)C1C2CC1O2,train
CCC(O)C1C2CC1C2,train
CCC(O)C1C2CC1O2,train
COC(C)C1C2CC1C2,train
COC(C)C1C2CC1O2,train
COC(C)C1C2CN1C2,train
OCC(O)C1C2CC1C2,train
OCC(O)C1C2CC1O2,train
OCC(O)C1C2CN1C2,train
CC(CO)C1C2CCC21,train
CC(CO)C1C2COC21,train
CCC(C)C1C2CCC21,train
CCC(C)C1C2COC21,train
CCC(O)C1C2CCC21,train
CCC(O)C1C2COC21,train
COC(C)C1C2CCC21,train
COC(C)C1C2COC21,train
N#Cc1ccco1,train
OCC(O)C1C2CCC21,train
OCC(O)C1C2COC21,train
CC(CO)C1CC(=N)O1,train
CC(CO)C1CC(=O)C1,train
CC(CO)C1CC(=O)N1,train
CC(CO)C1CC(=O)O1,train
CC(CO)N1CC(=O)C1,train
CCC(C)C1CC(=N)O1,test
CCC(C)C1CC(=O)C1,train
CCC(C)C1CC(=O)N1,train
CCC(C)C1CC(=O)O1,train
CCC(C)N1CC(=O)C1,train
CCC(O)C1CC(=N)O1,train
CCC(O)C1CC(=O)C1,train
CCC(O)C1CC(=O)N1,train
CCC(O)C1CC(=O)O1,train
COC(C)C1CC(=N)O1,train
COC(C)C1CC(=O)C1,train
COC(C)C1CC(=O)N1,train
COC(C)C1CC(=O)O1,train
N=C1CC(C(O)CO)O1,train
O=C1CC(C(O)CO)C1,train
O=C1CC(C(O)CO)N1,train
O=C1CC(C(O)CO)O1,train
CC1CC(C(C)CO)C1,train
CC1CC(C(C)CO)O1,train
CC(CO)C1CC(O)C1,train
CC(CO)N1CC(O)C1,train
CC1CC(C(O)CO)C1,test
CC1CC(C(O)CO)O1,train
CCC(C)C1CC(C)C1,train
CCC(C)C1CC(C)O1,train
CCC(C)C1CC(O)C1,train
CCC(O)C1CC(C)C1,train
CCC(O)C1CC(C)O1,train
CCC(O)C1CC(O)C1,train
COC(C)C1CC(C)C1,train
COC(C)C1CC(C)O1,train
COC(C)C1CC(O)C1,train
OCC(O)C1CC(O)C1,train
CC(CO)C1CC1(C)C,train
CC(CO)C1CC1(C)O,train
CC1(C)CC1C(O)CO,train
CC1(O)CC1C(O)CO,train
CCC(C)C1CC1(C)C,train
CCC(C)C1CC1(C)O,test
CCC(O)C1CC1(C)C,test
CCC(O)C1CC1(C)O,train
COC(C)C1CC1(C)C,train
COC(C)C1CC1(C)O,train
C#CC1CC1C(C)CO,train
CC(CO)C1CC1C#N,train
C#CC1CC1C(C)CC,test
